image,label,condition
kitchen\kitchen_70.jpg,kitchen,1
kitchen\kitchen_71.jpg,kitchen,5
kitchen\kitchen_72.jpg,kitchen,2
kitchen\kitchen_73.jpg,kitchen,4
kitchen\kitchen_74.jpg,kitchen,4
kitchen\kitchen_75.jpg,kitchen,3
kitchen\kitchen_76.jpg,kitchen,4
kitchen\kitchen_77.jpg,kitchen,3
kitchen\kitchen_78.jpg,kitchen,4
kitchen\kitchen_79.jpg,kitchen,3
kitchen\kitchen_8.jpg,kitchen,3
kitchen\kitchen_80.jpg,kitchen,2
kitchen\kitchen_9.jpg,kitchen,1
bathroom\bathroom_1.jpg,bathroom,3
bathroom\bathroom_10.jpg,bathroom,1
bathroom\bathroom_11.jpg,bathroom,4
bathroom\bathroom_12.jpg,bathroom,1
bathroom\bathroom_13.jpg,bathroom,3
bathroom\bathroom_14.jpg,bathroom,3
bathroom\bathroom_15.jpg,bathroom,4
bathroom\bathroom_16.jpg,bathroom,2
bathroom\bathroom_17.jpg,bathroom,2
bathroom\bathroom_18.jpg,bathroom,2
bathroom\bathroom_19.jpg,bathroom,4
bathroom\bathroom_2.jpg,bathroom,2
bathroom\bathroom_20.jpg,bathroom,5
bathroom\bathroom_21.jpg,bathroom,5
bathroom\bathroom_22.jpg,bathroom,3
bathroom\bathroom_23.jpg,bathroom,2
bathroom\bathroom_24.jpg,bathroom,3
bathroom\bathroom_25.jpg,bathroom,5
bathroom\bathroom_26.jpg,bathroom,3
bathroom\bathroom_27.jpg,bathroom,4
bathroom\bathroom_28.jpg,bathroom,3
bathroom\bathroom_29.jpg,bathroom,2
bathroom\bathroom_3.jpg,bathroom,1
bathroom\bathroom_30.jpg,bathroom,1
bathroom\bathroom_31.jpg,bathroom,1
bathroom\bathroom_32.jpg,bathroom,5
bathroom\bathroom_33.jpg,bathroom,1
bathroom\bathroom_34.jpg,bathroom,3
bathroom\bathroom_35.jpg,bathroom,1
bathroom\bathroom_36.jpg,bathroom,3
bathroom\bathroom_37.jpg,bathroom,3
bathroom\bathroom_38.jpg,bathroom,3
bathroom\bathroom_39.jpg,bathroom,1
bathroom\bathroom_4.jpg,bathroom,3
bathroom\bathroom_40.jpg,bathroom,1
bathroom\bathroom_41.jpg,bathroom,2
bathroom\bathroom_42.jpg,bathroom,3
bathroom\bathroom_43.jpg,bathroom,4
bathroom\bathroom_44.jpg,bathroom,5
bathroom\bathroom_45.jpg,bathroom,3
bathroom\bathroom_46.jpg,bathroom,5
bathroom\bathroom_47.jpg,bathroom,3
bathroom\bathroom_48.jpg,bathroom,3
bathroom\bathroom_49.jpg,bathroom,3
bathroom\bathroom_5.jpg,bathroom,2
bathroom\bathroom_50.jpg,bathroom,1
bathroom\bathroom_51.jpg,bathroom,4
bathroom\bathroom_52.jpg,bathroom,5
bathroom\bathroom_53.jpg,bathroom,3
bathroom\bathroom_54.jpg,bathroom,3
bathroom\bathroom_55.jpg,bathroom,3
bathroom\bathroom_56.jpg,bathroom,2
bathroom\bathroom_57.jpg,bathroom,1
bathroom\bathroom_58.jpg,bathroom,2
bathroom\bathroom_59.jpg,bathroom,5
bathroom\bathroom_6.jpg,bathroom,3
bathroom\bathroom_60.jpg,bathroom,3
bathroom\bathroom_61.jpg,bathroom,2
bathroom\bathroom_62.jpg,bathroom,5
bathroom\bathroom_63.jpg,bathroom,1
bathroom\bathroom_64.jpg,bathroom,5
bathroom\bathroom_65.jpg,bathroom,4
bathroom\bathroom_66.jpg,bathroom,5
bathroom\bathroom_67.jpg,bathroom,4
bathroom\bathroom_68.jpg,bathroom,4
bathroom\bathroom_69.jpg,bathroom,2
bathroom\bathroom_7.jpg,bathroom,4
bathroom\bathroom_70.jpg,bathroom,4
bathroom\bathroom_71.jpg,bathroom,5
bathroom\bathroom_72.jpg,bathroom,3
bathroom\bathroom_73.jpg,bathroom,2
bathroom\bathroom_74.jpg,bathroom,5
bathroom\bathroom_75.jpg,bathroom,4
bathroom\bathroom_76.jpg,bathroom,4
bathroom\bathroom_77.jpg,bathroom,1
bathroom\bathroom_78.jpg,bathroom,5
bathroom\bathroom_79.jpg,bathroom,3
bathroom\bathroom_8.jpg,bathroom,5
bathroom\bathroom_80.jpg,bathroom,3
bathroom\bathroom_9.jpg,bathroom,1
bedroom\bedroom_1.jpg,bedroom,1
bedroom\bedroom_10.jpg,bedroom,3
bedroom\bedroom_11.jpg,bedroom,2
bedroom\bedroom_12.jpg,bedroom,4
bedroom\bedroom_13.jpg,bedroom,3
bedroom\bedroom_14.jpg,bedroom,4
bedroom\bedroom_15.jpg,bedroom,4
bedroom\bedroom_16.jpg,bedroom,4
bedroom\bedroom_17.jpg,bedroom,1
bedroom\bedroom_18.jpg,bedroom,3
bedroom\bedroom_19.jpg,bedroom,2
bedroom\bedroom_2.jpg,bedroom,1
bedroom\bedroom_20.jpg,bedroom,3
bedroom\bedroom_21.jpg,bedroom,3
bedroom\bedroom_22.jpg,bedroom,2
bedroom\bedroom_23.jpg,bedroom,5
bedroom\bedroom_24.jpg,bedroom,3
bedroom\bedroom_25.jpg,bedroom,3
bedroom\bedroom_26.jpg,bedroom,2
bedroom\bedroom_27.jpg,bedroom,1
bedroom\bedroom_28.jpg,bedroom,1
bedroom\bedroom_29.jpg,bedroom,3
bedroom\bedroom_3.jpg,bedroom,5
bedroom\bedroom_30.jpg,bedroom,5
bedroom\bedroom_31.jpg,bedroom,4
bedroom\bedroom_32.jpg,bedroom,5
bedroom\bedroom_33.jpg,bedroom,3
bedroom\bedroom_34.jpg,bedroom,2
bedroom\bedroom_35.jpg,bedroom,5
bedroom\bedroom_36.jpg,bedroom,2
bedroom\bedroom_37.jpg,bedroom,3
bedroom\bedroom_38.jpg,bedroom,3
bedroom\bedroom_39.jpg,bedroom,5
bedroom\bedroom_4.jpg,bedroom,2
bedroom\bedroom_40.jpg,bedroom,2
bedroom\bedroom_41.jpg,bedroom,1
bedroom\bedroom_42.jpg,bedroom,3
bedroom\bedroom_43.jpg,bedroom,5
bedroom\bedroom_44.jpg,bedroom,1
bedroom\bedroom_45.jpg,bedroom,4
bedroom\bedroom_46.jpg,bedroom,1
bedroom\bedroom_47.jpg,bedroom,2
bedroom\bedroom_48.jpg,bedroom,3
bedroom\bedroom_49.jpg,bedroom,5
bedroom\bedroom_5.jpg,bedroom,5
bedroom\bedroom_50.jpg,bedroom,3
bedroom\bedroom_51.jpg,bedroom,1
bedroom\bedroom_52.jpg,bedroom,1
bedroom\bedroom_53.jpg,bedroom,4
bedroom\bedroom_54.jpg,bedroom,5
bedroom\bedroom_55.jpg,bedroom,4
bedroom\bedroom_56.jpg,bedroom,1
bedroom\bedroom_57.jpg,bedroom,3
bedroom\bedroom_58.jpg,bedroom,4
bedroom\bedroom_59.jpg,bedroom,4
bedroom\bedroom_6.jpg,bedroom,1
bedroom\bedroom_60.jpg,bedroom,1
bedroom\bedroom_61.jpg,bedroom,4
bedroom\bedroom_62.jpg,bedroom,4
bedroom\bedroom_63.jpg,bedroom,3
bedroom\bedroom_64.jpg,bedroom,3
bedroom\bedroom_65.jpg,bedroom,1
bedroom\bedroom_66.jpg,bedroom,5
bedroom\bedroom_67.jpg,bedroom,4
bedroom\bedroom_68.jpg,bedroom,1
bedroom\bedroom_69.jpg,bedroom,3
bedroom\bedroom_7.jpg,bedroom,2
bedroom\bedroom_70.jpg,bedroom,2
bedroom\bedroom_71.jpg,bedroom,5
bedroom\bedroom_72.jpg,bedroom,5
bedroom\bedroom_73.jpg,bedroom,1
bedroom\bedroom_74.jpg,bedroom,3
bedroom\bedroom_75.jpg,bedroom,1
bedroom\bedroom_76.jpg,bedroom,3
bedroom\bedroom_77.jpg,bedroom,4
bedroom\bedroom_78.jpg,bedroom,3
bedroom\bedroom_79.jpg,bedroom,2
bedroom\bedroom_8.jpg,bedroom,1
bedroom\bedroom_80.jpg,bedroom,1
bedroom\bedroom_9.jpg,bedroom,1
living_room\living_room_1.jpg,living_room,2
living_room\living_room_10.jpg,living_room,2
living_room\living_room_11.jpg,living_room,3
living_room\living_room_12.jpg,living_room,3
living_room\living_room_13.jpg,living_room,2
living_room\living_room_14.jpg,living_room,5
living_room\living_room_15.jpg,living_room,2
living_room\living_room_16.jpg,living_room,2
living_room\living_room_17.jpg,living_room,5
living_room\living_room_18.jpg,living_room,1
living_room\living_room_19.jpg,living_room,1
living_room\living_room_2.jpg,living_room,1
living_room\living_room_20.jpg,living_room,4
living_room\living_room_21.jpg,living_room,2
living_room\living_room_22.jpg,living_room,2
living_room\living_room_23.jpg,living_room,1
living_room\living_room_24.jpg,living_room,3
living_room\living_room_25.jpg,living_room,4
living_room\living_room_26.jpg,living_room,5
living_room\living_room_27.jpg,living_room,4
living_room\living_room_28.jpg,living_room,2
living_room\living_room_29.jpg,living_room,1
living_room\living_room_3.jpg,living_room,5
living_room\living_room_30.jpg,living_room,2
living_room\living_room_31.jpg,living_room,5
living_room\living_room_32.jpg,living_room,1
living_room\living_room_33.jpg,living_room,4
living_room\living_room_34.jpg,living_room,5
living_room\living_room_35.jpg,living_room,3
living_room\living_room_36.jpg,living_room,2
living_room\living_room_37.jpg,living_room,3
living_room\living_room_38.jpg,living_room,3
living_room\living_room_39.jpg,living_room,1
living_room\living_room_4.jpg,living_room,1
living_room\living_room_40.jpg,living_room,1
living_room\living_room_41.jpg,living_room,1
living_room\living_room_42.jpg,living_room,1
living_room\living_room_43.jpg,living_room,1
living_room\living_room_44.jpg,living_room,3
living_room\living_room_45.jpg,living_room,5
living_room\living_room_46.jpg,living_room,2
living_room\living_room_47.jpg,living_room,2
living_room\living_room_48.jpg,living_room,3
living_room\living_room_49.jpg,living_room,2
living_room\living_room_5.jpg,living_room,1
living_room\living_room_50.jpg,living_room,2
living_room\living_room_51.jpg,living_room,2
living_room\living_room_52.jpg,living_room,5
living_room\living_room_53.jpg,living_room,5
living_room\living_room_54.jpg,living_room,1
living_room\living_room_55.jpg,living_room,2
living_room\living_room_56.jpg,living_room,5
living_room\living_room_57.jpg,living_room,1
living_room\living_room_58.jpg,living_room,1
living_room\living_room_59.jpg,living_room,1
living_room\living_room_6.jpg,living_room,1
living_room\living_room_60.jpg,living_room,5
living_room\living_room_61.jpg,living_room,4
living_room\living_room_62.jpg,living_room,1
living_room\living_room_63.jpg,living_room,3
living_room\living_room_64.jpg,living_room,1
living_room\living_room_65.jpg,living_room,1
living_room\living_room_66.jpg,living_room,2
living_room\living_room_67.jpg,living_room,3
living_room\living_room_68.jpg,living_room,1
living_room\living_room_69.jpg,living_room,5
living_room\living_room_7.jpg,living_room,1
living_room\living_room_70.jpg,living_room,4
living_room\living_room_71.jpg,living_room,2
living_room\living_room_72.jpg,living_room,4
living_room\living_room_73.jpg,living_room,2
living_room\living_room_74.jpg,living_room,3
living_room\living_room_75.jpg,living_room,5
living_room\living_room_76.jpg,living_room,2
living_room\living_room_77.jpg,living_room,1
living_room\living_room_78.jpg,living_room,4
living_room\living_room_79.jpg,living_room,3
living_room\living_room_8.jpg,living_room,1
living_room\living_room_80.jpg,living_room,5
living_room\living_room_9.jpg,living_room,5
exterior\exterior_1.jpg,exterior,5
exterior\exterior_10.jpg,exterior,4
exterior\exterior_11.jpg,exterior,5
exterior\exterior_12.jpg,exterior,3
exterior\exterior_13.jpg,exterior,3
exterior\exterior_14.jpg,exterior,2
exterior\exterior_15.jpg,exterior,3
exterior\exterior_16.jpg,exterior,2
exterior\exterior_17.jpg,exterior,1
exterior\exterior_18.jpg,exterior,5
exterior\exterior_19.jpg,exterior,5
exterior\exterior_2.jpg,exterior,3
exterior\exterior_20.jpg,exterior,5
exterior\exterior_21.jpg,exterior,5
exterior\exterior_22.jpg,exterior,2
exterior\exterior_23.jpg,exterior,4
exterior\exterior_24.jpg,exterior,2
exterior\exterior_25.jpg,exterior,5
exterior\exterior_26.jpg,exterior,1
exterior\exterior_27.jpg,exterior,3
exterior\exterior_28.jpg,exterior,4
exterior\exterior_29.jpg,exterior,3
exterior\exterior_3.jpg,exterior,4
exterior\exterior_30.jpg,exterior,2
exterior\exterior_31.jpg,exterior,2
exterior\exterior_32.jpg,exterior,5
exterior\exterior_33.jpg,exterior,3
exterior\exterior_34.jpg,exterior,2
exterior\exterior_35.jpg,exterior,3
exterior\exterior_36.jpg,exterior,5
exterior\exterior_37.jpg,exterior,4
exterior\exterior_38.jpg,exterior,3
exterior\exterior_39.jpg,exterior,4
exterior\exterior_4.jpg,exterior,2
exterior\exterior_40.jpg,exterior,4
exterior\exterior_41.jpg,exterior,2
exterior\exterior_42.jpg,exterior,1
exterior\exterior_43.jpg,exterior,2
exterior\exterior_44.jpg,exterior,1
exterior\exterior_45.jpg,exterior,4
exterior\exterior_46.jpg,exterior,1
exterior\exterior_47.jpg,exterior,5
exterior\exterior_48.jpg,exterior,3
exterior\exterior_49.jpg,exterior,3
exterior\exterior_5.jpg,exterior,2
exterior\exterior_50.jpg,exterior,1
exterior\exterior_51.jpg,exterior,1
exterior\exterior_52.jpg,exterior,3
exterior\exterior_53.jpg,exterior,3
exterior\exterior_54.jpg,exterior,1
exterior\exterior_55.jpg,exterior,5
exterior\exterior_56.jpg,exterior,3
exterior\exterior_57.jpg,exterior,1
exterior\exterior_58.jpg,exterior,5
exterior\exterior_59.jpg,exterior,2
exterior\exterior_6.jpg,exterior,5
exterior\exterior_60.jpg,exterior,3
exterior\exterior_61.jpg,exterior,4
exterior\exterior_62.jpg,exterior,4
exterior\exterior_63.jpg,exterior,1
exterior\exterior_64.jpg,exterior,2
exterior\exterior_65.jpg,exterior,1
exterior\exterior_66.jpg,exterior,5
exterior\exterior_67.jpg,exterior,3
exterior\exterior_68.jpg,exterior,2
exterior\exterior_69.jpg,exterior,2
exterior\exterior_7.jpg,exterior,4
exterior\exterior_70.jpg,exterior,1
exterior\exterior_71.jpg,exterior,3
exterior\exterior_72.jpg,exterior,5
exterior\exterior_73.jpg,exterior,4
exterior\exterior_74.jpg,exterior,3
exterior\exterior_75.jpg,exterior,5
exterior\exterior_76.jpg,exterior,1
exterior\exterior_77.jpg,exterior,5
exterior\exterior_78.jpg,exterior,5
exterior\exterior_79.jpg,exterior,2
exterior\exterior_8.jpg,exterior,5
exterior\exterior_80.jpg,exterior,4
exterior\exterior_9.jpg,exterior,5
other\other_1.jpg,other,3
other\other_10.jpg,other,3
other\other_11.jpg,other,1
other\other_12.jpg,other,1
other\other_13.jpg,other,4
other\other_14.jpg,other,4
other\other_15.jpg,other,4
other\other_16.jpg,other,4
other\other_17.jpg,other,1
other\other_18.jpg,other,5
other\other_19.jpg,other,2
other\other_2.jpg,other,4
other\other_20.jpg,other,4
other\other_21.jpg,other,3
other\other_22.jpg,other,1
other\other_23.jpg,other,5
other\other_24.jpg,other,5
other\other_25.jpg,other,4
other\other_26.jpg,other,4
other\other_27.jpg,other,3
other\other_28.jpg,other,2
other\other_29.jpg,other,1
other\other_3.jpg,other,3
other\other_30.jpg,other,2
other\other_31.jpg,other,4
other\other_32.jpg,other,3
other\other_33.jpg,other,2
other\other_34.jpg,other,1
other\other_35.jpg,other,1
other\other_36.jpg,other,1
other\other_37.jpg,other,1
other\other_38.jpg,other,2
other\other_39.jpg,other,3
other\other_4.jpg,other,1
other\other_40.jpg,other,4
other\other_41.jpg,other,5
other\other_42.jpg,other,2
other\other_43.jpg,other,5
other\other_44.jpg,other,3
other\other_45.jpg,other,1
other\other_46.jpg,other,2
other\other_47.jpg,other,5
other\other_48.jpg,other,2
other\other_49.jpg,other,1
other\other_5.jpg,other,2
other\other_50.jpg,other,3
other\other_51.jpg,other,5
other\other_52.jpg,other,5
other\other_53.jpg,other,1
other\other_54.jpg,other,2
other\other_55.jpg,other,4
other\other_56.jpg,other,1
other\other_57.jpg,other,3
other\other_58.jpg,other,3
other\other_59.jpg,other,4
other\other_6.jpg,other,5
other\other_60.jpg,other,3
other\other_61.jpg,other,3
other\other_62.jpg,other,2
other\other_63.jpg,other,1
other\other_64.jpg,other,3
other\other_65.jpg,other,5
other\other_66.jpg,other,3
other\other_67.jpg,other,5
other\other_68.jpg,other,1
other\other_69.jpg,other,1
other\other_7.jpg,other,2
other\other_70.jpg,other,1
other\other_71.jpg,other,1
other\other_72.jpg,other,2
other\other_73.jpg,other,1
other\other_74.jpg,other,2
other\other_75.jpg,other,5
other\other_76.jpg,other,5
other\other_77.jpg,other,5
other\other_78.jpg,other,3
other\other_79.jpg,other,3
other\other_8.jpg,other,1
other\other_80.jpg,other,3
other\other_9.jpg,other,2
